"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","BCoVConc","capacity_mgd","composite_freq","concentration_method","conductivity","county","do","epaid","equiv_sewage_amt","extraction_method","inhibition_adjust","inhibition_detect","inhibition_method","lod_ref","n1_lod","n1_loq","n1_ntc_amplify","n1_num_no_target_control","n1_num_ntc_amplify","N1","N1Error","n1_sars_cov2_lod","n1_sars_cov2_units","n2_lod","n2_loq","n2_ntc_amplify","n2_num_no_target_control","n2_num_ntc_amplify","N2","N2Error","n2_sars_cov2_lod","n2_sars_cov2_units","pcr_type","ph","PMMoV","Pop","quant_stan_ref","quant_stan_type","sample_collect_time","sample_location","sample_location_specify","sample_matrix","sample_type","state","temperature","RepDate","tss","wwtp_comments","zipcode","analytical_comments","unformatted_collectdate","mycustomer","AVG","wt"
"Sheboygan",2021-05-22,"563263001",9.741,13853,0.553,4.556207,18.4,"24hr-FWCmp","filtMgCl2",1116,"Sheboygan",NA,"WI0025411",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,27707,1863,"Yes","Gene copies/L","qPCR",7.7,14912786,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",17.22,NA,NA,NA,"53081",NA,"44338","355660",27707,1
"Stevens Point",2021-05-22,"563264001",1.97,36194,4.08,4.556207,4.55,"24hr-FWCmp","filtMgCl2",880,"Portage",NA,"WI0029572",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,25675,16175,NA,"Gene copies/L",1e+05,220000,"N",3,NA,46713,6192,"Yes","Gene copies/L","qPCR",7.17,12492987,27000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54481",NA,"44338","355660",34631.72,2
"Menomonie",2021-05-22,"563265001",1.425,15614,0.546,4.556207,2.88,"24hr-FWCmp","filtMgCl2",935.4,"Dunn",NA,"WI0024708",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,19467,11277,NA,"Gene copies/L",1e+05,220000,"N",3,NA,11762,1251,"Yes","Gene copies/L","qPCR",7.1,15566083,16000,"IDT","DNA-plasm","0.34513888888888888","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54751",NA,"44338","355660",15131.78,2
"Janesville",2021-05-22,"563266001",11.518,27209,2.846,4.556207,16.1,"24hr-FWCmp","filtMgCl2",1240,"Rock",NA,"WI0030350",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,17439,6630,NA,"Gene copies/L",1e+05,220000,"N",3,NA,36979,8378,"Yes","Gene copies/L","qPCR",7.31,8049824,63500,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53548",NA,"44338","355660",25394.42,2
"Peshtigo",2021-05-24,"563267001",0.629,NA,8.828,4.556207,4.2,"24hr-FWCmp","filtMgCl2",546.3,"Marinette","4","WI0030651",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.5,3466946,4000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.6,NA,NA,NA,"54157",NA,"44340","355660",NA,0
"Wausau",2021-05-22,"563268001",4.39,12169,0.421,4.556207,8.2,"24hr-FWCmp","filtMgCl2",1023,"Marathon",NA,"WI0025739",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,14482,3948,NA,"Gene copies/L",1e+05,220000,"N",3,NA,9857,6479,"Yes","Gene copies/L","qPCR",7,18597781,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54401",NA,"44338","355660",11947.76,2
"Hudson",2021-05-22,"563269001",1.753,14199,2.858,4.556207,2.2,"24hr-FWCmp","filtMgCl2",1057,"Saint Croix","6","WI0024279",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,10859,5203,NA,"Gene copies/L",1e+05,220000,"N",3,NA,17538,7793,"Yes","Gene copies/L","qPCR",6.9,5395152,19680,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8,NA,NA,NA,"54016",NA,"44338","355660",13800.19,2
"WI Rapids",2021-05-21,"563271001",2.793,20975,2.565,4.556207,5.27,"24hr-FWCmp","filtMgCl2",1110,"Wood",NA,"WI0025844",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,21617,2749,NA,"Gene copies/L",1e+05,220000,"N",3,NA,20334,15901,"Yes","Gene copies/L","qPCR",7,15776745,20000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54494",NA,"44337","355660",20965.69,2
"SpencerWWTF",2021-05-24,"563272001",0.2935,5443,2.703,4.556207,0.52,"24hr-FWCmp","filtMgCl2",900.1,"Marathon",NA,"WI0021521",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,10885,6527,"Yes","Gene copies/L","qPCR",7.88,5583031,2000,"IDT","DNA-plasm","0.33055555555555555","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54479",NA,"44340","355660",10885,1
"Appleton",2021-05-21,"563273001",10.7,NA,1.151,4.556207,15.5,"24hr-FWCmp","filtMgCl2",952.7,"Outagamie",NA,"WI0023221",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.6,23607219,74832,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",15.2,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54914",NA,"44337","355660",NA,0
"Washburn",2021-05-24,"563275001",0.84,NA,30.511,4.556207,0.36,"24hr-FWCmp","filtMgCl2",318.1,"Bayfield",NA,"WI0022675",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.4,1460705,2200,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",10.2,NA,NA,NA,"54891",NA,"44340","355660",NA,0
"Sun Prairie",2021-05-25,"563276001",3.548,14167,3.818,4.556207,6.2,"24hr-FWCmp","filtMgCl2",1256,"Dane",NA,"WI0020478",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,23535,6921,NA,"Gene copies/L",1e+05,220000,"N",3,NA,4800,5214,"Yes","Gene copies/L","qPCR",6.9,25289893,34926,"IDT","DNA-plasm","0.26250000000000001","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",15,NA,NA,NA,"53590",NA,"44341","355660",10628.64,2
"Kenosha",2021-05-22,"563278001",17.57,49153,8.001,4.556207,28,"24hr-FWCmp","filtMgCl2",1128,"Kenosha",NA,"WI0028703",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,34445,13720,NA,"Gene copies/L",1e+05,220000,"N",3,NA,63861,9046,"Yes","Gene copies/L","qPCR",7.4,11814164,122000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53143",NA,"44338","355660",46900.88,2
"Madison",2021-05-21,"563412001",36.89,48785,0.921,4.556207,56,"24hr-FWCmp","filtMgCl2",1573,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,29085,11603,NA,"Gene copies/L",1e+05,220000,"N",3,NA,68485,16352,"Yes","Gene copies/L","qPCR",7.64,20880582,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44337","355660",44630.55,2
"Madison",2021-05-23,"563413001",35.23,67358,5.213,4.556207,56,"24hr-FWCmp","filtMgCl2",1549,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,37957,4384,NA,"Gene copies/L",1e+05,220000,"N",3,NA,96759,20042,"Yes","Gene copies/L","qPCR",7.61,26584703,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44339","355660",60602.65,2
"Madison",2021-05-24,"563414001",35.72,84526,1.172,4.556207,56,"24hr-FWCmp","filtMgCl2",1323,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,72954,3782,NA,"Gene copies/L",1e+05,220000,"N",3,NA,96098,32189,"Yes","Gene copies/L","qPCR",7.53,33044319,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44340","355660",83730.12,2
"Madison",2021-05-25,"563415001",36.93,46009,2.255,4.556207,56,"24hr-FWCmp","filtMgCl2",1526,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,29749,4838,NA,"Gene copies/L",1e+05,220000,"N",3,NA,62269,16584,"Yes","Gene copies/L","qPCR",7.8,40178755,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,"44341","355660",43039.99,2
"MMSD-P2",2021-05-24,"563416001",5.62,8356,1.086,4.556207,56,"24hr-FWCmp","filtMgCl2",1408,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,16713,1857,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7,29868124,380000,"IDT","DNA-plasm",NA,"upstream","P2-Central","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44340","355660",16713,1
"MMSD-P7",2021-05-24,"563417001",4.11,2849,0.321,4.556207,56,"24hr-FWCmp","filtMgCl2",1439,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,5698,55,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.25,17923579,380000,"IDT","DNA-plasm",NA,"upstream","P7-Southeast","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44340","355660",5698,1
"MMSD-P8",2021-05-24,"563418001",6.56,21817,4.663,4.556207,56,"24hr-FWCmp","filtMgCl2",1253,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,18813,11614,NA,"Gene copies/L",1e+05,220000,"N",3,NA,24820,8880,"Yes","Gene copies/L","qPCR",7,18682973,380000,"IDT","DNA-plasm",NA,"upstream","P8-West","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44340","355660",21608.76,2
"MMSD-P11",2021-05-24,"563419001",8.63,17159,0.626,4.556207,56,"24hr-FWCmp","filtMgCl2",1811,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,12358,11249,NA,"Gene copies/L",1e+05,220000,"N",3,NA,21960,8372,"Yes","Gene copies/L","qPCR",7.5,44227419,380000,"IDT","DNA-plasm",NA,"upstream","P11-Southwest","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44340","355660",16473.67,2
"MMSD-P18",2021-05-24,"563420001",10.8,161442,1.436,4.556207,56,"24hr-FWCmp","filtMgCl2",1648,"Dane",NA,"WI0024597",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,139794,28149,NA,"Gene copies/L",1e+05,220000,"N",3,NA,183089,29162,"No","Gene copies/L","qPCR",7.5,27911352,380000,"IDT","DNA-plasm",NA,"upstream","P18-Norhteast","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"53713",NA,"44340","355660",159983.6,2
"Lodi",2021-05-25,"563523001",0.325,NA,20.989,4.556207,0.542,"24hr-FWCmp","filtMgCl2",1593,"Columbia",NA,"WI0022918",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7,5138627,3100,"IDT","DNA-plasm","0.27083333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53555",NA,"44341","355660",NA,0
"La Crosse",2021-05-25,"563525001",10.25,10724,7.91,4.698877,20,"24hr-FWCmp","filtMgCl2",2270,"La Crosse",NA,"WI0029581",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,21449,938,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.41,8795823,85000,"IDT","DNA-plasm","0.30694444444444441","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54601",NA,"44341","355660",21449,1
"Ashland",2021-05-25,"563526001",2.769,NA,27.762,4.556207,1.92,"24hr-FWCmp","filtMgCl2",710,"Ashland",NA,"WI0030767",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.63,3229698,8000,"IDT","DNA-plasm","0.34375","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13,NA,NA,NA,"54806",NA,"44341","355660",NA,0
"Stevens Point",2021-05-25,"563528001",2.09,272592,4.073,4.556207,4.55,"24hr-FWCmp","filtMgCl2",872,"Portage",NA,"WI0029572",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,236390,15990,NA,"Gene copies/L",1e+05,220000,"N",3,NA,308793,14951,"No","Gene copies/L","qPCR",7.39,17568281,27000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54481",NA,"44341","355660",270176.9,2
"New Richmond",2021-05-25,"563529001",0.677,46493,3.712,4.556207,0.98,"24hr-FWCmp","filtMgCl2",1322,"Saint Croix",NA,"WI0021245",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,31593,9113,NA,"Gene copies/L",1e+05,220000,"N",3,NA,61394,19739,"Yes","Gene copies/L","qPCR",7.59,14704344,9167,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54017",NA,"44341","355660",44041.12,2
"Waupaca",2021-05-25,"563536001",1.3115,59282,7.17,4.556207,1.5,"24hr-FWCmp","filtMgCl2",1194,"Waupaca",NA,"WI0030490",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,49217,9705,NA,"Gene copies/L",1e+05,220000,"N",3,NA,69348,15337,"Yes","Gene copies/L","qPCR",7.4,15191671,10000,"IDT","DNA-plasm","0.33819444444444446","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54981",NA,"44341","355660",58421.75,2
"Clintonville",2021-05-25,"563538001",0.545,43070,9.87,4.698877,0.679,"24hr-FWCmp","filtMgCl2",1251,"Waupaca",NA,"WI0021466",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,28552,6831,NA,"Gene copies/L",1e+05,220000,"N",3,NA,57588,14299,"Yes","Gene copies/L","qPCR",7.9,13463661,4455,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54929",NA,"44341","355660",40549.38,2
"Oconomowoc",2021-05-25,"563541001",2.818,97293,11.11,4.556207,4.02,"24hr-FWCmp","filtMgCl2",2315,"Waukesha","2.56","WI0021181",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,71464,9543,NA,"Gene copies/L",1e+05,220000,"N",3,NA,123122,23056,"No","Gene copies/L","qPCR",7.7,19084593,34135,"IDT","DNA-plasm","0.31597222222222221","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.2,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53066",NA,"44341","355660",93801.87,2
"Viroqua",2021-05-25,"563547001",0.288,1813,3.442,4.556207,0.535,"24hr-FWCmp","filtMgCl2",1361,"Vernon",NA,"WI0021920",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,3626,-1,"Yes","Gene copies/L","qPCR",7,18532658,4335,"IDT","DNA-plasm","0.36458333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54665",NA,"44341","355660",3626,1
"Hayward",2021-05-25,"563548001",0.263228,197190,0.74,4.698877,0.772,"24hr-FWCmp","filtMgCl2",931.2,"Sawyer",NA,"WI0021121",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,185965,51878,NA,"Gene copies/L",1e+05,220000,"N",3,NA,208415,22922,"No","Gene copies/L","qPCR",7.5,16812757,2375,"IDT","DNA-plasm","0.31944444444444448","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54843",NA,"44341","355660",196870.3,2
"Monroe",2021-05-25,"563549001",1.894,15321,1.459,4.556207,3.7,"24hr-FWCmp","filtMgCl2",2187,"Green",NA,"WI0020362",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,22126,8768,NA,"Gene copies/L",1e+05,220000,"N",3,NA,8516,3850,"Yes","Gene copies/L","qPCR",8.1,14577954,10800,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53566",NA,"44341","355660",13726.8,2
"River Falls",2021-05-25,"563550001",1.406,21539,10.342,4.556207,1.8,"24hr-FWCmp","filtMgCl2",1119,"Pierce","4.78","WI0029394",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,22586,5333,NA,"Gene copies/L",1e+05,220000,"N",3,NA,20492,6986,"Yes","Gene copies/L","qPCR",7.27,9389909,16000,"IDT","DNA-plasm","0.3125","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.9,NA,NA,NA,"54022",NA,"44341","355660",21513.54,2
"Heart of the Valley",2021-05-25,"563555001",6.144,10821,6.84,4.556207,26.4,"24hr-FWCmp","filtMgCl2",3660,"Outagamie",NA,"WI0031232",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,21643,6833,"Yes","Gene copies/L","qPCR",7.5,14351532,50000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",15.1,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54130",NA,"44341","355660",21643,1
"Wolf",2021-05-25,"563557001",1.801,64085,9.808,4.556207,2.63,"24hr-FWCmp","filtMgCl2",1165,"Shawano",NA,"WI0028452",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,40104,7291,NA,"Gene copies/L",1e+05,220000,"N",3,NA,88065,17692,"Yes","Gene copies/L","qPCR",7.3,9706622,18000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54166",NA,"44341","355660",59428.6,2
"Rib Lake",2021-05-25,"563559001",0.117,19131,16.085,4.556207,0.5,"24hr-FWCmp","filtMgCl2",538,"Taylor","3.83","WI0029017",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,18388,5060,NA,"Gene copies/L",1e+05,220000,"N",3,NA,19874,1557,"Yes","Gene copies/L","qPCR",6.87,20103098,386,"IDT","DNA-plasm","0.5","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",10.6,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54470",NA,"44341","355660",19116.57,2
"Chippewa Falls",2021-05-25,"563560001",2.268,4363,11.12,4.698877,4.5,"24hr-FWCmp","filtMgCl2",1590,"Chippewa",NA,"WI0023604",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,8726,60,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",6.8,10347851,13000,"IDT","DNA-plasm","0.3125","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11,NA,NA,NA,"54729-2175",NA,"44341","355660",8726,1
"Menomonie",2021-05-25,"563561001",1.409,185420,3.64,4.556207,2.88,"24hr-FWCmp","filtMgCl2",1286,"Dunn",NA,"WI0024708",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,132728,4879,NA,"Gene copies/L",1e+05,220000,"N",3,NA,238112,20960,"No","Gene copies/L","qPCR",8,26024515,16000,"IDT","DNA-plasm","0.29305555555555557","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54751",NA,"44341","355660",177775.5,2
"Wausau",2021-05-25,"563565001",4.55,120526,7.697,4.556207,8.2,"24hr-FWCmp","filtMgCl2",1309,"Marathon",NA,"WI0025739",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,111228,17216,NA,"Gene copies/L",1e+05,220000,"N",3,NA,129825,16432,"No","Gene copies/L","qPCR",7.5,33626693,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54401",NA,"44341","355660",120167.3,2
"Portage",2021-05-25,"563566001",1.697,41414,6.779,4.556207,2.102,"24hr-FWCmp","filtMgCl2",NA,"Columbia","3.39","WI0020427",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,37940,10100,NA,"Gene copies/L",1e+05,220000,"N",3,NA,44889,36913,"Yes","Gene copies/L","qPCR",7.8,84509636,10693,"IDT","DNA-plasm","0.30208333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",15,NA,NA,NA,"53901",NA,"44341","355660",41268.49,2
"Sturgeon Bay",2021-05-25,"563567001",1.8,5802,3.973,4.556207,7.418,"24hr-FWCmp","filtMgCl2",1555,"Door",NA,"WI0021113",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,8726,7665,NA,"Gene copies/L",1e+05,220000,"N",3,NA,2878,1857,"Yes","Gene copies/L","qPCR",7.9,13830407,9500,"IDT","DNA-plasm","0.3125","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.2,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54235",NA,"44341","355660",5011.33,2
"Baraboo",2021-05-25,"563568001",1.82,12729,2.777,4.556207,2.53,"24hr-FWCmp","filtMgCl2",1291,"Sauk",NA,"WI0020605",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,14017,6216,NA,"Gene copies/L",1e+05,220000,"N",3,NA,11440,3881,"Yes","Gene copies/L","qPCR",7,35842556,14000,"IDT","DNA-plasm","0.26944444444444443","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53913",NA,"44341","355660",12663.11,2
"Rib Mountain",2021-05-25,"563569001",2.53,49099,7.862,4.556207,4.41,"24hr-FWCmp","filtMgCl2",1564,"Marathon",NA,"WI0035581",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,46201,11850,NA,"Gene copies/L",1e+05,220000,"N",3,NA,51998,440,"Yes","Gene copies/L","qPCR",7.64,19686959,40000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54401",NA,"44341","355660",49013.87,2
"Lac du Flambeau",2021-05-25,"563570001",0.092,NA,0.83,4.698877,0.19,"24hr-TWCmp","filtMgCl2",775.8,"Vilas",NA,"WI0036498",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,NA,-1,NA,"Gene copies/L",1e+05,220000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.13,6544416,3400,"IDT","DNA-plasm","0.375","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.4,NA,NA,NA,"54538",NA,"44341","355660",NA,0
"Marinette",2021-05-25,"563572001",1.88,50916,19.35,4.698877,7.8,"24hr-FWCmp","filtMgCl2",1054,"Marinette",NA,"WI0026182",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,47859,34438,NA,"Gene copies/L",1e+05,220000,"N",3,NA,53973,16478,"Yes","Gene copies/L","qPCR",7,19096270,10608,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54143",NA,"44341","355660",50824.15,2
"La Crosse",2021-05-20,"563573001",10.37,26098,2.48,4.698877,20,"24hr-FWCmp","filtMgCl2",2283,"La Crosse",NA,"WI0029581",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,13909,2713,NA,"Gene copies/L",1e+05,220000,"N",3,NA,38286,11915,"Yes","Gene copies/L","qPCR",7.53,15556579,85000,"IDT","DNA-plasm","0.3034722222222222","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54601",NA,"44336","355660",23076.39,2
