"Site","epaid","Pop","sample_id","repName","n1_sars_cov2_units","N1","N1LOD","n2_sars_cov2_units","N2","N2LOD","PMMoV","hf183_conc","Date","sample_collect_time","test_result_date","FlowRate","tss","ph","bod","conductivity","temperature","do","created_on","last_modified_on","lab_submitter","n1_lod","n1_loq","n2_lod","n2_loq"
"Menomonie WWTF","WI0024708",16000,"577288001","qPCR","Gene copies/L",114018,FALSE,"Gene copies/L",123202,FALSE,24403162,NA,2021-08-10,"7:00","8/16/2021 10:34",1.402,NA,"8.3",NA,"1043",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","64000","200000","100000","220000"
"Appleton WWTF","WI0023221",74832,"577290001","qPCR","Gene copies/L",NA,TRUE,"Gene copies/L",10894,TRUE,4366381,NA,2021-08-10,"0:00","8/16/2021 9:11",19.9,NA,"7.3",NA,"1032","19.5",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Manitowoc WWTF","WI0024601",34450,"577291001","qPCR","Gene copies/L",52171,FALSE,"Gene copies/L",49973,TRUE,3231903,NA,2021-08-10,"12:00","8/16/2021 10:34",11.24,NA,"7.6",NA,"1241","20.6",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Berlin WWTF","WI0021229",6000,"577292001","qPCR","Gene copies/L",42698,FALSE,"Gene copies/L",29321,TRUE,6637362,NA,2021-08-10,"7:00","8/16/2021 9:11",2.059,NA,"7.48",NA,"1175","19.9",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Wolf Treatment Plant","WI0028452",18000,"577295001","qPCR","Gene copies/L",226414,FALSE,"Gene copies/L",206556,FALSE,27127598,NA,2021-08-10,"7:36","8/16/2021 10:34",2.328,NA,"7.5",NA,"1359",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","64000","200000","100000","220000"
"Lac du Flambeau Tribal Water & Sewer","WI0036498",3400,"577296001","qPCR","Gene copies/L",35328,TRUE,"Gene copies/L",11887,TRUE,14888947,NA,2021-08-10,"9:00","8/16/2021 9:11",0.096,NA,"7.2",NA,"859","18.1",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Ashland Sewage Utility","WI0030767",8000,"577298001","qPCR","Gene copies/L",84451,FALSE,"Gene copies/L",90165,FALSE,15469394,NA,2021-08-10,"8:10","8/16/2021 9:11",0.658,NA,"7.22",NA,"855","18",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Ashland Sewage Utility","WI0030767",8000,"577299001","qPCR","Gene copies/L",81521,FALSE,"Gene copies/L",66058,FALSE,8074178,NA,2021-08-09,"8:10","8/16/2021 9:11",0.654,NA,"7.3",NA,"811","18",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"New Richmond WWTF","WI0021245",9167,"577300001","qPCR","Gene copies/L",141605,FALSE,"Gene copies/L",118782,FALSE,15323429,NA,2021-08-10,"7:00","8/16/2021 10:34",0.93456,NA,"7.63",NA,"1104",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Cedarburg WWTF","WI0020222",12000,"1658","droplet digital PCR","copies/L wastewater",3477.991111,TRUE,"copies/L wastewater",1734.327111,TRUE,1947675.022,NA,2021-08-11,"7:06","8/16/2021",3.324,NA,NA,NA,"1750",NA,NA,"8/16/2021 15:36","1/7/2022 13:54","UWM","5205.316","17343.271","5205.316","17343.271"
"Columbus WWTF","WI0021008",7000,"577301001","qPCR","Gene copies/L",27408,TRUE,"Gene copies/L",67884,FALSE,5674530,NA,2021-08-10,"8:00","8/16/2021 9:11",0.988,NA,"7.7",NA,"949","20","3","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"La Crosse WWTP","WI0029581",85000,"577302001","qPCR","Gene copies/L",182341,FALSE,"Gene copies/L",145465,FALSE,7946383,NA,2021-08-10,"7:52","8/16/2021 9:11",11.2,NA,"7.43",NA,"1610",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Lake Geneva WWTP","WI0021130",8000,"577303001","qPCR","Gene copies/L",191613,FALSE,"Gene copies/L",179873,FALSE,9872191,NA,2021-08-10,"7:15","8/16/2021 9:11",1.3352367,NA,"7.65",NA,"1638","13.6","3.2","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Portage WWTF","WI0020427",10693,"577304001","qPCR","Gene copies/L",98219,FALSE,"Gene copies/L",97530,FALSE,29223244,NA,2021-08-10,"7:15","8/16/2021 10:34",1.748,NA,"7.7",NA,"1255","20","1.73","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Kenosha WWTF","WI0028703",122000,"577305001","qPCR","Gene copies/L",144034,FALSE,"Gene copies/L",108165,FALSE,15873897,NA,2021-08-10,"0:00","8/16/2021 9:11",22.49,NA,"7.6",NA,"1100",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Kenosha WWTF","WI0028703",122000,"577309001","qPCR","Gene copies/L",360748,FALSE,"Gene copies/L",219824,FALSE,17173775,NA,2021-08-06,"0:00","8/16/2021 9:11",15.7,NA,"7.5",NA,"1162",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Hayward WPCF","WI0021121",2375,"577310001","qPCR","Gene copies/L",112730,FALSE,"Gene copies/L",70499,FALSE,21789020,NA,2021-08-10,"7:15","8/16/2021 9:11",0.297822,NA,"7",NA,"991.2",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Black River Falls WWTF","WI0021954",5200,"577314001","qPCR","Gene copies/L",131317,FALSE,"Gene copies/L",90745,FALSE,5540214,NA,2021-08-10,"7:40","8/16/2021 9:11",0.842,NA,"6.98",NA,"465",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Whitewater WWTF","WI0020001",14000,"577319001","qPCR","Gene copies/L",139510,FALSE,"Gene copies/L",143376,FALSE,41490030,NA,2021-08-10,"6:58","8/16/2021 10:34",1.27,NA,"7.72",NA,"1450","8.4","2.5","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"De Pere WWTF","WI0065251",43000,"1656","droplet digital PCR","copies/L wastewater",5555.448889,FALSE,"copies/L wastewater",0,TRUE,4698322.489,NA,2021-08-11,"6:00","8/16/2021",10.4,"118","7.4","220","1154",NA,NA,"8/16/2021 15:36","1/7/2022 13:55","UWM","5555.449","18533.724","5555.449","18533.724"
"Green Bay MSD","WI0065251",189000,"1657","droplet digital PCR","copies/L wastewater",5975.608889,FALSE,"copies/L wastewater",1995.76,TRUE,8953609.6,NA,2021-08-11,"6:00","8/16/2021",68.2,"120","7.4","100","1165",NA,NA,"8/16/2021 15:36","1/7/2022 13:55","UWM","5975.609","19957.6","5975.609","19957.6"
"Milwaukee MSD Jones Island","WI0036820",470007,"1650","droplet digital PCR","copies/L wastewater",10970.84444,FALSE,"copies/L wastewater",5485.422222,FALSE,6224203.556,NA,2021-08-11,"0:00","12/9/2021",220,"89",NA,"88","917",NA,NA,"8/16/2021 15:36","1/7/2022 13:55","UWM","5485.422","18276.96","5485.422","18276.96"
"Marshfield WWTF","WI0021024",19316,"577321001","qPCR","Gene copies/L",90268,FALSE,"Gene copies/L",57376,TRUE,7030286,NA,2021-08-10,"7:15","8/16/2021 10:34",4.435,NA,"6.8",NA,"1258",NA,"5.1","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Sheboygan WWTP","WI0025411",75000,"577329001","qPCR","Gene copies/L",196706,FALSE,"Gene copies/L",225585,FALSE,17984844,NA,2021-08-10,"6:00","8/16/2021 10:34",14.278,NA,"7.8",NA,"982","21.11",NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Milwaukee MSD South Shore","WI0036820",615934,"1651","droplet digital PCR","copies/L wastewater",38631.37778,FALSE,"copies/L wastewater",15102.41778,FALSE,12809511.29,NA,2021-08-11,"0:00","8/16/2021",154,"160",NA,"310","1363",NA,NA,"8/16/2021 15:36","1/7/2022 13:56","UWM","5041.92","16783.058","5041.92","16783.058"
"Racine Wastewater Utility","WI0025194",139000,"1653","droplet digital PCR","copies/L wastewater",7632.906667,FALSE,"copies/L wastewater",7632.906667,FALSE,6264585.6,NA,2021-08-11,"0:00","8/16/2021",20.07,"82","7.44","91","1104","18.27777778",NA,"8/16/2021 15:36","2/18/2022 10:37","UWM","5718.844","19070.596","5718.844","19070.596"
"Waukesha WWTP","WI0029971",72549,"1654","droplet digital PCR","copies/L wastewater",5648.817778,FALSE,"copies/L wastewater",0,TRUE,5821316.8,NA,2021-08-11,"8:00","8/16/2021",9.714,NA,NA,NA,"2220","4",NA,"8/16/2021 15:36","1/7/2022 13:57","UWM","5648.818","18813.831","5648.818","18813.831"
"Keshena WWTF","WI0071315",2500,"576347001","qPCR","Gene copies/L",268249,FALSE,"Gene copies/L",160741,FALSE,18324297,NA,2021-08-04,"11:20","8/13/2021 10:00",0.1115,NA,"6.45",NA,"2266","19.7","0.84","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Portage WWTF","WI0020427",10693,"576352001","qPCR","Gene copies/L",109657,FALSE,"Gene copies/L",77808,FALSE,146452653,NA,2021-08-04,"7:15","8/13/2021 10:00",1.525,NA,"7.5",NA,"1557","17.78","3.23","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"River Falls Municipal Utility WWTF","WI0029394",16000,"577330001","qPCR","Gene copies/L",133475,FALSE,"Gene copies/L",132833,FALSE,13046280,NA,2021-08-10,"7:40","8/16/2021 10:34",1.321,NA,"7.56",NA,"769.8","8.9","3.87","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Wausau Water Works WWTF","WI0025739",NA,"577331001","qPCR","Gene copies/L",58965,FALSE,"Gene copies/L",57869,TRUE,6579747,NA,2021-08-10,"8:00","8/16/2021 10:34",9.07,NA,"7",NA,"907.5",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Hudson WWTF","WI0024279",19680,"577333001","qPCR","Gene copies/L",30064,TRUE,"Gene copies/L",33516,TRUE,7604683,NA,2021-08-10,"7:00","8/16/2021 9:11",1.587,NA,"7.4",NA,"1001","4.8","7.8","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Oconomowoc WWTP","WI0021181",34135,"577353001","qPCR","Gene copies/L",117808,FALSE,"Gene copies/L",147307,FALSE,13439917,NA,2021-08-10,"7:30","8/16/2021 10:34",3.718,NA,"7.7",NA,"1630","12.4","3.56","8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Mondovi WWTF","WI0020591",2800,"577355001","qPCR","Gene copies/L",1304910,FALSE,"Gene copies/L",1297837,FALSE,27133066,NA,2021-08-10,"8:00","8/16/2021 10:34",0.198,NA,"7.2",NA,"650.3",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","64000","200000","100000","220000"
"Viroqua WWTF","WI0021920",4335,"577357001","qPCR","Gene copies/L",59854,FALSE,"Gene copies/L",55058,TRUE,13517168,NA,2021-08-10,"9:12","8/16/2021 10:34",0.436,NA,"7.94",NA,"710.7",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Plymouth Utilities WWTF","WI0030031",9000,"577360001","qPCR","Gene copies/L",126218,FALSE,"Gene copies/L",96714,FALSE,15751534,NA,2021-08-10,"8:04","8/16/2021 10:34",2.069,NA,"7.8",NA,"1516",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Monroe WWTF","WI0020362",10800,"577369001","qPCR","Gene copies/L",NA,TRUE,"Gene copies/L",NA,TRUE,25485535,NA,2021-08-10,"7:00","8/16/2021 10:34",1.922,NA,"8.23",NA,"1827",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","64000","200000","100000","220000"
"Hartford WPCF","WI0020192",15200,"577371001","qPCR","Gene copies/L",90488,FALSE,"Gene copies/L",79390,FALSE,2696458,NA,2021-08-10,"8:15","8/16/2021 9:11",1.97,NA,"7.7",NA,"2136",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Mauston WWTF","WI0024635",4500,"577373001","qPCR","Gene copies/L",54435,FALSE,"Gene copies/L",63620,TRUE,1863141,NA,2021-08-10,"8:00","8/16/2021 10:34",0.691,NA,"7.55",NA,"935.4",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Clintonville Wastewater Utility","WI0021466",4455,"577374001","qPCR","Gene copies/L",79265,FALSE,"Gene copies/L",101368,FALSE,8100884,NA,2021-08-10,"7:00","8/16/2021 9:11",0.651,NA,"7.8",NA,"1004",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Janesville WW Utility","WI0030350",63500,"577381001","qPCR","Gene copies/L",132722,FALSE,"Gene copies/L",101953,FALSE,8853689,NA,2021-08-10,"7:20","8/16/2021 9:11",11.59,NA,"7.58",NA,"1552",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Baraboo WWTF","WI0020605",14000,"577386001","qPCR","Gene copies/L",113399,FALSE,"Gene copies/L",81802,FALSE,10180149,NA,2021-08-10,"7:13","8/16/2021 9:11",1.71,NA,"7",NA,"1128",NA,NA,"8/16/2021 22:54","8/16/2021 22:54","SLH","40000","130000","66000","140000"
"Green Bay MSD","WI0065251",189000,"1726","droplet digital PCR","copies/L wastewater",81075.2,FALSE,"copies/L wastewater",85145.6,FALSE,196472832,NA,2021-08-22,"6:00","8/26/2021",28.6,NA,NA,NA,"2070",NA,NA,"8/26/2021 23:40","1/7/2022 13:55","UWM","6067.2","20249.6","6067.2","20249.6"
"Milwaukee MSD Jones Island","WI0036820",470007,"1720","droplet digital PCR","copies/L wastewater",30233.6,FALSE,"copies/L wastewater",23884.8,FALSE,226574336,NA,2021-08-22,"0:00","8/26/2021",126,"130",NA,"90","806",NA,NA,"8/26/2021 23:40","1/7/2022 13:55","UWM","4761.6","15923.2","4761.6","15923.2"
"Milwaukee MSD South Shore","WI0036820",615934,"1721","droplet digital PCR","copies/L wastewater",38169.6,FALSE,"copies/L wastewater",64921.6,FALSE,171353600,NA,2021-08-22,"0:00","8/26/2021",75,"360",NA,"330","1519",NA,NA,"8/26/2021 23:40","1/7/2022 13:56","UWM","5734.4","19072","5734.4","19072"
"MMSD-P18","WI0024597",380000,"579169001","qPCR","Gene copies/L",95613,FALSE,"Gene copies/L",106556,FALSE,17315050,NA,2021-08-19,"0:00","8/26/2021 15:57",10.91,NA,"7.25",NA,"2092",NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Wisconsin Rapids WWTF","WI0025844",20000,"579711001","qPCR","Gene copies/L",124520,FALSE,"Gene copies/L",81249,FALSE,8232205,NA,2021-08-20,"8:00","8/26/2021 15:15",3.629,NA,"7",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Racine Wastewater Utility","WI0025194",139000,"1722","droplet digital PCR","copies/L wastewater",183884.8,FALSE,"copies/L wastewater",206387.2,FALSE,251803648,NA,2021-08-22,"0:00","8/26/2021",12.5,"118","7.29","129","1167","18.16666667",NA,"8/26/2021 23:40","2/18/2022 10:37","UWM","4480","14899.2","4480","14899.2"
"Wausau Water Works WWTF","WI0025739",NA,"579723001","qPCR","Gene copies/L",85436,FALSE,"Gene copies/L",43011,TRUE,20851509,NA,2021-08-21,"8:00","8/26/2021 15:15",5.09,NA,"7",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","64000","200000","100000","220000"
"Janesville WW Utility","WI0030350",63500,"579984001","qPCR","Gene copies/L",277448,FALSE,"Gene copies/L",164163,FALSE,10123841,NA,2021-08-24,"7:25","8/26/2021 15:57",10.29,NA,"7.49",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Hudson WWTF","WI0024279",19680,"579987001","qPCR","Gene copies/L",112755,FALSE,"Gene copies/L",116715,FALSE,9946663,NA,2021-08-24,"7:00","8/26/2021 15:57",1.518,NA,"7.9",NA,NA,"11",NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Berlin WWTF","WI0021229",6000,"580000001","qPCR","Gene copies/L",26132,TRUE,"Gene copies/L",30076,TRUE,22183391,NA,2021-08-24,"7:00","8/26/2021 15:57",0.813,NA,"7.39",NA,NA,"20",NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Black River Falls WWTF","WI0021954",5200,"580004001","qPCR","Gene copies/L",53319,FALSE,"Gene copies/L",29946,TRUE,10592384,NA,2021-08-24,"7:21","8/26/2021 15:57",0.569,NA,"6.98",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Clintonville Wastewater Utility","WI0021466",4455,"580009001","qPCR","Gene copies/L",128652,FALSE,"Gene copies/L",93100,FALSE,8287895,NA,2021-08-20,"6:00","8/26/2021 15:57",0.537,NA,"7.8",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Manitowoc WWTF","WI0024601",34450,"580012001","qPCR","Gene copies/L",264159,FALSE,"Gene copies/L",163572,FALSE,9920097,NA,2021-08-24,"12:00","8/26/2021 15:57",8.343,NA,"7.5",NA,NA,"20.6",NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Columbus WWTF","WI0021008",7000,"580013001","qPCR","Gene copies/L",57896,FALSE,"Gene copies/L",20525,TRUE,12304746,NA,2021-08-24,"8:00","8/26/2021 15:57",0.787,NA,"7.6",NA,NA,"20","3","8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Hayward WPCF","WI0021121",2375,"580016001","qPCR","Gene copies/L",132405,FALSE,"Gene copies/L",104313,TRUE,12757164,NA,2021-08-24,"7:25","8/26/2021 15:57",0.276407,NA,"7",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","64000","200000","100000","220000"
"Waukesha WWTP","WI0029971",72549,"1723","droplet digital PCR","copies/L wastewater",20966.4,FALSE,"copies/L wastewater",30643.2,FALSE,162232832,NA,2021-08-22,"8:00","8/26/2021",8.121,NA,NA,NA,"2650","4",NA,"8/26/2021 23:40","1/7/2022 13:57","UWM","4838.4","16128","4838.4","16128"
"Marinette Wastewater Utility","WI0026182",10608,"580028001","qPCR","Gene copies/L",450930,FALSE,"Gene copies/L",316164,FALSE,13679511,NA,2021-08-24,"7:00","8/26/2021 15:57",1.91,NA,"7.25",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Mauston WWTF","WI0024635",4500,"580031001","qPCR","Gene copies/L",221047,FALSE,"Gene copies/L",163471,FALSE,4551543,NA,2021-08-24,"8:00","8/26/2021 15:57",0.429,NA,"7.77",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Kenosha WWTF","WI0028703",122000,"580042001","qPCR","Gene copies/L",188983,FALSE,"Gene copies/L",179879,FALSE,15315058,NA,2021-08-24,"0:00","8/26/2021 15:57",15.25,NA,"7.3",NA,"1109",NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Eau Claire WWTF","WI0023850",75000,"580046001","qPCR","Gene copies/L",360955,FALSE,"Gene copies/L",219450,FALSE,20477815,NA,2021-08-24,"7:00","8/26/2021 15:57",8.72,NA,"7.6",NA,"1180","21.7","4.92","8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"La Crosse WWTP","WI0029581",85000,"580048001","qPCR","Gene copies/L",160415,FALSE,"Gene copies/L",87850,FALSE,11139748,NA,2021-08-24,"7:42","8/26/2021 15:57",10.03,NA,"7.43",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Lake Geneva WWTP","WI0021130",8000,"580053001","qPCR","Gene copies/L",262036,FALSE,"Gene copies/L",220183,FALSE,41144131,NA,2021-08-24,"7:15","8/26/2021 15:57",1.072454,NA,"7.63",NA,NA,"18.5","4.45","8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Baraboo WWTF","WI0020605",14000,"580054001","qPCR","Gene copies/L",326257,FALSE,"Gene copies/L",241116,FALSE,22209372,NA,2021-08-24,"7:31","8/26/2021 15:57",1.55,NA,"7.25",NA,NA,NA,NA,"8/27/2021 22:56","8/27/2021 22:56","SLH","40000","130000","66000","140000"
"Lodi WWTF","WI0022918",3100,"580011001","qPCR","Gene copies/L",78845,TRUE,"Gene copies/L",31039,TRUE,13947299,NA,2021-08-24,"6:30","9/1/2021 10:42",0.299,NA,"7",NA,NA,NA,NA,"9/1/2021 22:57","10/1/2021 22:08","SLH","64000","200000","100000","220000"
"Hartford WPCF","WI0020192",15200,"580050001","qPCR","Gene copies/L",127232,FALSE,"Gene copies/L",65643,FALSE,3585126.3,NA,2021-08-24,"7:10","8/31/2021 16:59",1.84,NA,"7.66",NA,NA,NA,NA,"9/1/2021 22:57","9/1/2021 22:57","SLH","40000","130000","66000","140000"
"Fox River WPCC","WI0023469",51000,"1735","droplet digital PCR","copies/L wastewater",99353.6,FALSE,"copies/L wastewater",70348.8,FALSE,19457024,NA,2021-08-25,"7:05","8/30/2021",7.8,"216","7.8","149","2650","13",NA,"8/30/2021 15:02","1/17/2022 11:01","UWM","6195.2","20684.8","6195.2","20684.8"
"Wisconsin Rapids WWTF","WI0025844",20000,"580014001","qPCR","Gene copies/L",473413,FALSE,"Gene copies/L",498747,FALSE,11177570,NA,2021-08-24,"8:00","8/30/2021 12:19",3.468,NA,"6.7",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","53000","170000","87000","180000"
"Portage WWTF","WI0020427",10693,"580024001","qPCR","Gene copies/L",140314,FALSE,"Gene copies/L",99750,FALSE,56725349,NA,2021-08-24,"7:15","8/30/2021 12:19",1.643,NA,"7.7",NA,NA,"18.89","3.39","8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Mondovi WWTF","WI0020591",2800,"580027001","qPCR","Gene copies/L",225603,FALSE,"Gene copies/L",329151,FALSE,44507908,NA,2021-08-24,"8:00","8/30/2021 12:19",0.194,NA,"7.2",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","64000","200000","100000","220000"
"Sheboygan WWTP","WI0025411",75000,"580029001","qPCR","Gene copies/L",291216,FALSE,"Gene copies/L",218382,FALSE,17592437,NA,2021-08-24,"6:00","8/30/2021 12:19",9.634,NA,"7.3",NA,NA,"20",NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Whitewater WWTF","WI0020001",14000,"580030001","qPCR","Gene copies/L",146045,FALSE,"Gene copies/L",120061,FALSE,61402283,NA,2021-08-24,"6:51","8/30/2021 12:19",1.01,NA,"7.72",NA,"1370","8.7","2.84","8/31/2021 22:57","8/31/2021 22:57","SLH","64000","200000","100000","220000"
"Stevens Point WWTF","WI0029572",27000,"580035001","qPCR","Gene copies/L",181105,FALSE,"Gene copies/L",129741,FALSE,32103301,NA,2021-08-24,"7:00","8/30/2021 12:19",2.33,NA,"7.44",NA,"314",NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","53000","170000","87000","180000"
"Appleton WWTF","WI0023221",74832,"580039001","qPCR","Gene copies/L",4275,TRUE,"Gene copies/L",10625,TRUE,24184669,NA,2021-08-24,"0:00","8/26/2021 15:57",8.5,NA,"7.4",NA,NA,"20.8",NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","64000","200000","100000","220000"
"Wolf Treatment Plant","WI0028452",18000,"580041001","qPCR","Gene copies/L",260151,FALSE,"Gene copies/L",190184,FALSE,16292082,NA,2021-08-24,"7:00","8/30/2021 12:19",2.044,NA,"7.5",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Plymouth Utilities WWTF","WI0030031",9000,"580047001","qPCR","Gene copies/L",342389,FALSE,"Gene copies/L",326589,FALSE,23793737,NA,2021-08-24,"8:03","8/30/2021 12:19",1.56,NA,"7.9",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","64000","200000","100000","220000"
"Cedarburg WWTF","WI0020222",12000,"1738","droplet digital PCR","copies/L wastewater",76467.2,FALSE,"copies/L wastewater",71526.4,FALSE,771886080,NA,2021-08-25,"7:02","8/30/2021",2.064,NA,NA,NA,"2150",NA,NA,"8/30/2021 15:02","1/7/2022 13:54","UWM","7398.4","24652.8","7398.4","24652.8"
"Viroqua WWTF","WI0021920",4335,"580049001","qPCR","Gene copies/L",52737,FALSE,"Gene copies/L",82451,FALSE,31372498,NA,2021-08-24,"8:45","8/30/2021 12:19",0.347,NA,"7.79",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Monroe WWTF","WI0020362",10800,"580051001","qPCR","Gene copies/L",24572,TRUE,"Gene copies/L",9851,TRUE,22113608,NA,2021-08-24,"7:00","8/30/2021 12:19",1.933,NA,"7.94",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Rhinelander WWTP","WI0020044",7800,"580056001","qPCR","Gene copies/L",1111816,FALSE,"Gene copies/L",915759,FALSE,19655779,NA,2021-08-24,"9:53","8/30/2021 12:19",0.81,NA,"7.34",NA,NA,"4",NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","64000","200000","100000","220000"
"Oshkosh WWTP","WI0025038",67000,"580522001","qPCR","Gene copies/L",162522,FALSE,"Gene copies/L",195182,FALSE,9092732,NA,2021-08-26,"7:00","8/30/2021 15:34",15.005,NA,"7.98",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Manitowoc WWTF","WI0024601",34450,"580525001","qPCR","Gene copies/L",110085,FALSE,"Gene copies/L",179975,FALSE,8501390,NA,2021-08-26,"12:00","8/30/2021 15:34",9.274,NA,"7.5",NA,NA,"20.6",NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"Oconomowoc WWTP","WI0021181",34135,"580526001","qPCR","Gene copies/L",609582,FALSE,"Gene copies/L",557960,FALSE,19768289,NA,2021-08-26,"7:50","8/30/2021 15:34",2.859,NA,"7.8",NA,NA,"12.6","1.41","8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
"La Crosse WWTP","WI0029581",85000,"580527001","qPCR","Gene copies/L",204168,FALSE,"Gene copies/L",266725,FALSE,13715565,NA,2021-08-26,"7:32","8/30/2021 15:34",10.3,NA,"7.47",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","64000","200000","100000","220000"
"Black River Falls WWTF","WI0021954",5200,"580528001","qPCR","Gene copies/L",80257,FALSE,"Gene copies/L",97866,FALSE,6022690,NA,2021-08-26,"8:00","8/30/2021 15:34",0.583,NA,"6.94",NA,NA,NA,NA,"8/31/2021 22:57","8/31/2021 22:57","SLH","40000","130000","66000","140000"
