"Site","Date","sample_id","FlowRate","Cov1_below_lod","cov2_conc","BCoV","BCoVConc","bod","capacity_mgd","composite_freq","concentration_method","conductivity","county","do","epaid","equiv_sewage_amt","extraction_method","hf183_conc","inhibition_adjust","inhibition_detect","inhibition_method","lod_ref","n1_lod","n1_loq","n1_ntc_amplify","n1_num_no_target_control","n1_num_ntc_amplify","N1","N1Error","n1_sars_cov2_lod","n1_sars_cov2_units","n2_lod","n2_loq","n2_ntc_amplify","n2_num_no_target_control","n2_num_ntc_amplify","N2","N2Error","n2_sars_cov2_lod","n2_sars_cov2_units","pcr_type","ph","PMMoV","Pop","quant_stan_ref","quant_stan_type","sample_collect_time","sample_location","sample_location_specify","sample_matrix","sample_type","state","temperature","RepDate","tss","wwtp_comments","zipcode","analytical_comments","unformatted_collectdate","mycustomer","AVG","wt"
"River Falls",2021-02-09,"547241002",1.335,NA,167345,3.37,5.046254125,NA,1.8,"24hr-FWCmp","filtMgCl2",700,"Pierce","3.5","WI0029394",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,196655,10714,NA,"Gene copies/L",66000,140000,"N",3,NA,138035,13968,"No","Gene copies/L","qPCR",7.53,15185881,16000,"IDT","DNA-plasm","07:45","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",6.4,2021-02-18 11:47:00,NA,"SAMPLE RECEIVED PARTIALLY FROZEN. RESULTS APPROXIMATE. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,"44236.322916666664","355660",164758.225667188,2
"River Falls",2021-02-10,"547241003",1.34,NA,305967,2.96,5.046254125,NA,1.8,"24hr-FWCmp","filtMgCl2",862.1,"Pierce","2.8","WI0029394",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,345822,88534,NA,"Gene copies/L",66000,140000,"N",3,NA,266112,67666,"No","Gene copies/L","qPCR",7.3,15679231,16000,"IDT","DNA-plasm","07:45","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",6.6,2021-02-18 11:47:00,NA,"SAMPLE RECEIVED PARTIALLY FROZEN. RESULTS APPROXIMATE. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,"44237.322916666664","355660",303360.155696163,2
"Beloit",2021-02-10,"547246001",3.906,NA,105262,3.47,5.046254125,NA,11.3,"24hr-FWCmp","filtMgCl2",1582,"Rock",NA,"WI0023370",0.625,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,315648,17871,NA,"Gene copies/L",1e+05,220000,"N",3,NA,71500,7839,"Yes","Gene copies/L","qPCR",7.4,24880413,NA,"IDT","DNA-plasm","07:03","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",16.3,2021-02-17 09:33:00,NA,"""Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported."" ""Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported."" SAMPLE RECEIVED PARTIALLY FROZEN. RESULTS APPROXIMATE.","53511",NA,"44237.293749999997","355660",150229.264792184,2
"Hartford",2021-02-09,"547248001",1.62,NA,27662,1.03,5.046254125,NA,3.6,"24hr-FWCmp","filtMgCl2",2189,"Washington",NA,"WI0020192",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,25020,7679,NA,"Gene copies/L",66000,140000,"N",3,NA,30304,4982,"Yes","Gene copies/L","qPCR",7.69,5653838,15200,"IDT","DNA-plasm","07:17","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-17 09:33:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53027",NA,"44236.303472222222","355660",27535.5421228637,2
"Sun Prairie",2021-02-08,"547273001",3.34,NA,8647,0.723024981,5.046,NA,6.2,"24hr-FWCmp","filtMgCl2",1253,"Dane",NA,"WI0020478",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,11038,2260,NA,"Gene copies/L",66000,140000,"N",3,NA,6256,5371,"Yes","Gene copies/L","qPCR",7.4,22706445,34926,"IDT","DNA-plasm","06:20","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.05,2021-02-25 12:47:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,"44235.263888888891","355660",8309.85727915949,2
"Sun Prairie",2021-02-09,"547273002",3.262,NA,20838,2.529375645,5.046,NA,6.2,"24hr-FWCmp","filtMgCl2",1339,"Dane",NA,"WI0020478",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,27134,1810,NA,"Gene copies/L",66000,140000,"N",3,NA,14541,5757,"Yes","Gene copies/L","qPCR",7.4,39113670.9,34926,"IDT","DNA-plasm","06:25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.3,2021-02-25 13:02:00,NA,NA,"53590",NA,"44236.267361111109","355660",19863.4210044494,2
"Sun Prairie",2021-02-10,"547273003",3.135,NA,36065,3.992,5.046,NA,6.2,"24hr-FWCmp","filtMgCl2",1513,"Dane",NA,"WI0020478",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,44240,4889,NA,"Gene copies/L",66000,140000,"N",3,NA,27890,5906,"Yes","Gene copies/L","qPCR",7.4,26209690,34926,"IDT","DNA-plasm","06:52","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",10.89,2021-02-25 13:02:00,NA,NA,"53590",NA,"44237.286111111112","355660",35126.2522908437,2
"Madison",2021-02-10,"547274001",37.22,NA,340137,5.881,5.046254125,NA,56,"24hr-FWCmp","filtMgCl2",1635,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,354811,28718,NA,"Gene copies/L",66000,140000,"N",3,NA,325463,22644,"No","Gene copies/L","qPCR",7.76,35370490,380000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-17 09:21:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44237","355660",339820.323837466,2
"Madison",2021-02-11,"547274002",36.77,NA,331952,8.024,5.046254125,NA,56,"24hr-FWCmp","filtMgCl2",1705,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,388671,25836,NA,"Gene copies/L",66000,140000,"N",3,NA,275233,23195,"No","Gene copies/L","qPCR",7.65,33689951,380000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-17 09:21:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",327070.459294324,2
"MMSD-P2",2021-02-11,"547277001",5.87,NA,296414,3.72,5.046,NA,56,"24hr-FWCmp","filtMgCl2",1399,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,340779,54406,NA,"Gene copies/L",66000,140000,"N",3,NA,252049,18684,"No","Gene copies/L","qPCR",7,40186834,380000,"IDT","DNA-plasm","00:00","upstream","P2-Central","Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 16:28:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",293075.086233886,2
"MMSD-P7",2021-02-11,"547279001",3.45,NA,183652,3.56,5.046,NA,56,"24hr-FWCmp","filtMgCl2",1645,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,226876,25356,NA,"Gene copies/L",66000,140000,"N",3,NA,140429,25561,"No","Gene copies/L","qPCR",7,54222724,380000,"IDT","DNA-plasm","00:00","upstream","P7-Southeast","Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 16:38:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",178493.612782082,2
"MMSD-P8",2021-02-11,"547281001",6.53,NA,116617,5.06,5.046,NA,56,"24hr-FWCmp","filtMgCl2",1499,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,117618,15386,NA,"Gene copies/L",66000,140000,"N",3,NA,115617,11795,"No","Gene copies/L","qPCR",7,24781056,380000,"IDT","DNA-plasm","00:00","upstream","P8-West","Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 16:38:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",116613.20811126,2
"MMSD-P11",2021-02-11,"547282001",8.57,NA,163700,1.78,5.046,NA,56,"24hr-FWCmp","filtMgCl2",1486,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,183774,8208,NA,"Gene copies/L",66000,140000,"N",3,NA,143625,12396,"No","Gene copies/L","qPCR",7,31819007,380000,"IDT","DNA-plasm","00:00","upstream","P11-Southwest","Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 16:38:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",162463.967543576,2
"MMSD-P18",2021-02-11,"547284001",12.35,NA,122396,0.51,5.046,NA,56,"24hr-FWCmp","filtMgCl2",1453,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,130403,24482,NA,"Gene copies/L",66000,140000,"N",3,NA,114390,5559,"No","Gene copies/L","qPCR",7,16786232,380000,"IDT","DNA-plasm","00:00","upstream","P18-Norhteast","Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 16:38:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",122134.348854039,2
"La Crosse",2021-02-11,"547391001",10.94,NA,137759,2.21,5.046254125,NA,20,"24hr-FWCmp","filtMgCl2",1397,"La Crosse",NA,"WI0029581",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,151533,17103,NA,"Gene copies/L",66000,140000,"N",3,NA,123984,5866,"No","Gene copies/L","qPCR",7.45,13231545,85000,"IDT","DNA-plasm","08:02","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-17 09:33:00,NA,"SAMPLE RECEIVED PARTIALLY FROZEN. RESULTS APPROXIMATE. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54601",NA,"44238.334722222222","355660",137068.112528042,2
"Manitowoc",2021-02-11,"547392001",6.443,NA,68821,9.36,5.046254125,NA,15.5,"24hr-FWCmp","filtMgCl2",860,"Manitowoc",NA,"WI0024601",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,96135,11145,NA,"Gene copies/L",66000,140000,"N",3,NA,41506,14489,"Yes","Gene copies/L","qPCR",7.5,7612508,34450,"IDT","DNA-plasm","12:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7.8,2021-02-17 09:33:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54220",NA,"44238.5","355660",63167.8661187791,2
"Spring UW-Sellery",2021-02-12,"547397001",NA,NA,245298,3.709,5.046,NA,NA,NA,"filtMgCl2",946.4,NA,NA,NA,1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,268867,28839,NA,"Gene copies/L",66000,140000,"N",3,NA,221730,9190,"No","Gene copies/L","qPCR",7.5,10040367,NA,"IDT","DNA-plasm","08:00",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,2021-02-18 16:38:00,158,"Sample received below 2 degrees C Sample received below 2 degrees C Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.",NA,NA,"44239.333333333336","355590",244163.63347149,2
"Spring UW-LakeShore",2021-02-12,"547398001",NA,NA,582351,0.05,5.04625,NA,NA,NA,"filtMgCl2",1677,NA,NA,NA,0.125,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",320000,1e+06,"N",3,NA,588119,125897,NA,"Gene copies/L",520000,1100000,"N",3,NA,576582,36352,"No","Gene copies/L","qPCR",7,117216824,NA,"IDT","DNA-plasm","08:00",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,2021-02-15 08:53:00,705,NA,NA,NA,"44239.333333333336","355590",582321.929226437,2
"Kenosha",2021-02-11,"547558001",17.37,NA,91805,4.2182,5.046254125,NA,28,"24hr-FWCmp","filtMgCl2",1305,"Kenosha",NA,"WI0028703",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,101893,8204,NA,"Gene copies/L",66000,140000,"N",3,NA,81718,3359,"No","Gene copies/L","qPCR",7.6,14767261,122000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,"44238","355660",91249.6146512411,2
"Kenosha",2021-02-12,"547558002",17.57,NA,185495,4.0587,5.046254125,NA,28,"24hr-FWCmp","filtMgCl2",1248,"Kenosha",NA,"WI0028703",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,216454,14027,NA,"Gene copies/L",66000,140000,"N",3,NA,154536,13132,"No","Gene copies/L","qPCR",7.5,17758694,122000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,"44239","355660",182893.234822943,2
"Kenosha",2021-02-13,"547558003",17.92,NA,133277,4.5489,5.046254125,NA,28,"24hr-FWCmp","filtMgCl2",1316,"Kenosha",NA,"WI0028703",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,156407,6575,NA,"Gene copies/L",66000,140000,"N",3,NA,110148,10310,"No","Gene copies/L","qPCR",7.5,14709923,122000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,"44240","355660",131255.164606959,2
"Platteville",2021-02-11,"547559001",0.925,NA,336073,1.3277,5.046254125,NA,3,"24hr-FWCmp","filtMgCl2",1848,"Grant","4.48","WI0020435",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,404171,33761,NA,"Gene copies/L",66000,140000,"N",3,NA,267974,20139,"No","Gene copies/L","qPCR",7.86,13109387,14000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13.13,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,"44238.25","355660",329100.774161958,2
"Platteville",2021-02-12,"547559002",0.946,NA,136102,1.9293,5.046254125,NA,3,"24hr-FWCmp","filtMgCl2",1390,"Grant","4.52","WI0020435",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,165558,17092,NA,"Gene copies/L",66000,140000,"N",3,NA,106646,8446,"No","Gene copies/L","qPCR",7.75,13154329,14000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.24,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,"44239.25","355660",132876.252460701,2
"Platteville",2021-02-13,"547559003",0.953,NA,815418,5.8893,5.046254125,NA,3,"24hr-FWCmp","filtMgCl2",1637,"Grant","4.56","WI0020435",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,909120,61080,NA,"Gene copies/L",66000,140000,"N",3,NA,721716,47365,"No","Gene copies/L","qPCR",7.84,21302922,14000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.23,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,"44240.25","355660",810016.326946562,2
"Hudson",2021-02-11,"547562001",1.399,NA,126949,1.3232,5.046254125,NA,2.2,"24hr-FWCmp","filtMgCl2",1095,"Saint Croix","8.34","WI0024279",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,142516,18950,NA,"Gene copies/L",66000,140000,"N",3,NA,111383,18430,"No","Gene copies/L","qPCR",7.75,10716952,19680,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",6.39,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,"44238.291666666664","355660",125991.506174027,2
"Hudson",2021-02-12,"547562002",1.414,NA,95020,1.4616,5.046254125,NA,2.2,"24hr-FWCmp","filtMgCl2",1030,"Saint Croix","6.04","WI0024279",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,104534,9431,NA,"Gene copies/L",66000,140000,"N",3,NA,85507,6508,"No","Gene copies/L","qPCR",7.56,9728432,19680,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.33,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,"44239.291666666664","355660",94543.0522989395,2
"Hudson",2021-02-13,"547562003",1.407,NA,66048,0.5521,5.046254125,NA,2.2,"24hr-FWCmp","filtMgCl2",1309,"Saint Croix","7.34","WI0024279",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,80187,12637,NA,"Gene copies/L",66000,140000,"N",3,NA,51908,7610,"Yes","Gene copies/L","qPCR",7.61,11781949,19680,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.16,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,"44240.291666666664","355660",64516.2521850115,2
"Eau Claire",2021-02-12,"547572001",7.38,NA,124243,8.905657606,5.046,NA,12,"24hr-FWCmp","filtMgCl2",1060,"Eau Claire","5.89","WI0023850",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,140229,20502,NA,"Gene copies/L",66000,140000,"N",3,NA,108256,32797,"No","Gene copies/L","qPCR",7.69,11696791.73,75000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.9,2021-02-25 14:51:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54703",NA,"44239.25","355660",123209.70182579,2
"Peshtigo",2021-02-15,"547573001",0.42,NA,52484,6.798483109,5.046,NA,4.2,"24hr-FWCmp","filtMgCl2",779,"Marinette","5.9","WI0030651",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,62307,12135,NA,"Gene copies/L",66000,140000,"N",3,NA,42661,3398,"No","Gene copies/L","qPCR",7.7,3608970.948,4000,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",9.9,2021-02-25 14:51:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54157",NA,"44242.333333333336","355660",51556.5604651823,2
"Plymouth",2021-02-11,"547578001",1.55,NA,90135,1.563,5.046,NA,1.8,"24hr-FWCmp","filtMgCl2",1400,"Sheboygan",NA,"WI0030031",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,123908,14379,NA,"Gene copies/L",66000,140000,"N",3,NA,56363,11690,"Yes","Gene copies/L","qPCR",8,8802268,9000,"IDT","DNA-plasm","07:45","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-03-03 13:02:00,NA,"LAB EXTRAPOLATED SAMPLE START TIME. (END TIME-24 HRS) LAB EXTRAPOLATED SAMPLE START TIME. (END TIME-24 HRS) Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,"44238.322916666664","355660",83569.2922310582,2
"Plymouth",2021-02-12,"547578002",1.57,NA,22789,0.521,5.046,NA,1.8,"24hr-FWCmp","filtMgCl2",1586,"Sheboygan",NA,"WI0030031",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,29445,6588,NA,"Gene copies/L",66000,140000,"N",3,NA,16134,3446,"Yes","Gene copies/L","qPCR",8.1,8665028,9000,"IDT","DNA-plasm","08:21","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-03-03 13:02:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,"44239.347916666666","355660",21796.0003211598,2
"Plymouth",2021-02-13,"547578003",1.54,NA,15011,0.553,5.046,NA,1.8,"24hr-FWCmp","filtMgCl2",1709,"Sheboygan",NA,"WI0030031",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,19454,7221,NA,"Gene copies/L",66000,140000,"N",3,NA,10568,4476,"Yes","Gene copies/L","qPCR",8.2,16676565,9000,"IDT","DNA-plasm","07:31","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-03-03 13:02:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,"44240.313194444447","355660",14338.4054901513,2
"Merrill",2021-02-11,"547581001",1.046,NA,93781,1.97,5.046254125,NA,3.06,"24hr-FWCmp","filtMgCl2",771,"Lincoln",NA,"WI0020150",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,114221,16405,NA,"Gene copies/L",66000,140000,"N",3,NA,73341,8238,"No","Gene copies/L","qPCR",7.55,8875221,10000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,"44238.291666666664","355660",91526.4025350063,2
"Merrill",2021-02-12,"547581002",1.035,NA,181172,3.13,5.046254125,NA,3.06,"24hr-FWCmp","filtMgCl2",616.2,"Lincoln",NA,"WI0020150",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,215295,21499,NA,"Gene copies/L",66000,140000,"N",3,NA,147050,17707,"No","Gene copies/L","qPCR",7.66,14814345,10000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,"44239.291666666664","355660",177930.126032665,2
"Merrill",2021-02-13,"547581003",1.057,NA,45549,2.8,5.046254125,NA,3.06,"24hr-FWCmp","filtMgCl2",674.7,"Lincoln",NA,"WI0020150",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,55448,10709,NA,"Gene copies/L",66000,140000,"N",3,NA,35651,4703,"Yes","Gene copies/L","qPCR",7.7,12401154,10000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-18 10:00:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,"44240.291666666664","355660",44460.9564449529,2
"Janesville",2021-02-13,"547585001",11.59,NA,207911,11.56,5.046,NA,16.1,"24hr-FWCmp","filtMgCl2",1615,"Rock",NA,"WI0030350",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,190116,-1,NA,"Gene copies/L",66000,140000,"N",3,NA,225705,-1,"No","Gene copies/L","qPCR",7.74,11354509,63500,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-25 14:51:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53548",NA,"44240.291666666664","355660",207147.608675553,2
"Sheboygan",2021-02-13,"547586001",8.38,NA,NA,9.83,5.046,NA,18.4,"24hr-FWCmp","filtMgCl2",811,"Sheboygan",NA,"WI0025411",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,NA,-1,NA,"Gene copies/L",66000,140000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.9,27002857,75000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.7,2021-02-25 14:51:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53081",NA,"44240.25","355660",NA,0
"Wausau",2021-02-11,"547591001",3.55,NA,76710,0.407107927,5.046,NA,8.2,"24hr-FWCmp","filtMgCl2",839.5,"Marathon",NA,"WI0025739",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,103640,20033,NA,"Gene copies/L",66000,140000,"N",3,NA,49780,8933,"No","Gene copies/L","qPCR",7.5,52182442.18,NA,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-26 08:50:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,"44238.333333333336","355660",71827.5657390671,2
"Wausau",2021-02-12,"547591002",3.6,NA,33631,0.348142714,5.046,NA,8.2,"24hr-FWCmp","filtMgCl2",1039,"Marathon",NA,"WI0025739",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,47083,8113,NA,"Gene copies/L",66000,140000,"N",3,NA,20179,4624,"Yes","Gene copies/L","qPCR",7.5,30508460.74,NA,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-26 08:50:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,"44239.333333333336","355660",30823.4952106344,2
"Wausau",2021-02-13,"547591003",3.53,NA,60680,0.758369984,5.046,NA,8.2,"24hr-FWCmp","filtMgCl2",907.4,"Marathon",NA,"WI0025739",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,80863,8202,NA,"Gene copies/L",66000,140000,"N",3,NA,40497,2826,"Yes","Gene copies/L","qPCR",7.5,43792844.93,NA,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2021-02-26 08:50:00,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,"44240.333333333336","355660",57225.0723983815,2
