"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","capacity_mgd","conductivity","do","equiv_sewage_amt","n1_lod","n1_loq","N1","N1Error","n1_sars_cov2_lod","n2_lod","n2_loq","N2","N2Error","n2_sars_cov2_lod","ph","PMMoV","Pop","temperature","tss","wwtp_comments","zipcode","analytical_comments","AVG","wt"
"MMSD-P11",2021-05-17,562240001,8.53,12823,9.689,56,1259,NA,0.625,64000,2e+05,10363,4335,NA,1e+05,220000,15283,4452,"Yes",7,54894339,380000,NA,NA,NA,"53713",NA,12584.8213733847,2
"MMSD-P8",2021-05-17,562241001,6.03,9219,7.361,56,1622,NA,0.625,64000,2e+05,9403,152,NA,1e+05,220000,9036,90,"Yes",7,15994687,380000,NA,NA,NA,"53713",NA,9217.67367615061,2
"MMSD-P7",2021-05-17,562242001,4.13,29514,2.87,56,1648,NA,0.625,64000,2e+05,51354,6817,NA,1e+05,220000,7673,705,"Yes",7.25,19971064,380000,NA,NA,NA,"53713",NA,19850.4217083668,2
"MMSD-P2",2021-05-17,562243001,4.97,80024,6.837,56,1135,NA,0.625,64000,2e+05,73534,5364,NA,1e+05,220000,86514,31034,"Yes",7,20274398,380000,NA,NA,NA,"53713",NA,79760.3941564985,2
"Madison",2021-05-17,562244001,34.13,60594,4.522,56,1391,NA,0.625,64000,2e+05,32575,9497,NA,1e+05,220000,88614,23036,"Yes",7.55,17883422,380000,NA,NA,NA,"53713",NA,53727.0979115753,2
"Madison",2021-05-18,562235001,35.53,93427,9.286,56,1636,NA,0.625,64000,2e+05,109712,33957,NA,1e+05,220000,77141,18030,"Yes",7.53,21766471,380000,NA,NA,NA,"53713",NA,91996.1596589771,2
"Sun Prairie",2021-05-18,562248001,3.516,32405,6.636,6.2,1388,NA,0.625,64000,2e+05,25603,7085,NA,1e+05,220000,39207,3138,"Yes",6.91,20231727,34926,14.3,NA,NA,"53590",NA,31683.0683646644,2
"Chippewa Falls",2021-05-18,562390001,2.125,50677,1.454,4.5,1380,NA,0.625,64000,2e+05,39023,6394,NA,1e+05,220000,62330,16966,"Yes",6.8,13345745,13000,15,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54729-2175",NA,49318.389977776,2
"Merrill",2021-05-18,562396001,1.101,33629,9.151,3.06,1032,NA,0.625,64000,2e+05,33095,20166,NA,1e+05,220000,34162,4758,"Yes",7.68,10131891,10000,NA,NA,NA,"54452",NA,33624.2678730705,2
"Viroqua",2021-05-18,562401001,0.285,NA,0.576,0.535,1150,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7.97,20464608,4335,NA,NA,NA,"54665",NA,NA,0
"Waupaca",2021-05-18,562402001,1.2686,10757,1.523,1.5,2087,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,21514,8284,"Yes",7.3,17840095,10000,NA,NA,NA,"54981",NA,21514,1
"Wausau",2021-05-18,562403001,4.14,21913,1.18,8.2,1370,NA,0.625,64000,2e+05,24020,7989,NA,1e+05,220000,19806,2823,"Yes",7,9260463,42000,NA,NA,NA,"54401",NA,21811.4676259989,2
"River Falls",2021-05-18,562404001,1.305,11670,10.599,1.8,1009,5.37,0.625,64000,2e+05,23340,10642,NA,1e+05,220000,NA,-1,"Yes",7.43,18363823,16000,9.7,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54022",NA,23340,1
"Menomonie",2021-05-18,562406001,1.329,8486,2.82,2.88,1747,NA,0.625,64000,2e+05,2327,802,NA,1e+05,220000,14645,10346,"Yes",8.4,13831132,16000,NA,NA,NA,"54751",NA,5837.71487827215,2
"Plymouth",2021-05-18,562410001,1.679,53493,4.761,1.8,1714,NA,0.625,64000,2e+05,64259,9881,NA,1e+05,220000,42726,21860,"Yes",8,28146598,9000,NA,NA,NA,"53073",NA,52397.8056219915,2
"Berlin WWTP",2021-05-18,562414001,0.633,40919,11.073,1.5,1617,NA,0.625,64000,2e+05,44879,13546,NA,1e+05,220000,36959,10577,"Yes",7.83,55182551,6000,14.7,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54923",NA,40726.931642342,2
"Hartford",2021-05-18,562415001,1.77,19743,9.526,3.6,2192,NA,0.625,64000,2e+05,23642,4059,NA,1e+05,220000,15843,5563,"Yes",7.67,8516189,15200,NA,NA,NA,"53027",NA,19353.5579674643,2
"Baraboo",2021-05-18,562416001,1.74,17941,3.562,2.53,1403,NA,0.625,64000,2e+05,30690,12030,NA,1e+05,220000,5192,4010,"Yes",7,19595218,14000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53913",NA,12623.0931233197,2
"Mondovi",2021-05-18,562417001,0.212,32630,1.237,0.3,980,NA,0.625,40000,130000,23884,15165,NA,66000,140000,41376,6318,"Yes",8.8,31606142,2800,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54755",NA,31436.0363913773,2
"Rhinelander",2021-05-18,562418001,0.81,3147,3.436,2.21,866.4,NA,0.625,64000,2e+05,6294,1290,NA,1e+05,220000,NA,-1,"Yes",7.29,17560085,7800,4,NA,NA,"54501",NA,6294,1
"Rib Mountain",2021-05-18,562421001,2.54,27599,8.053,4.41,1206,NA,0.625,64000,2e+05,21054,8252,NA,1e+05,220000,34144,7315,"Yes",7.61,18314186,40000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54401",NA,26811.7096806601,2
"Ashland",2021-05-18,562424001,0.763,112155,11.39,1.92,770,NA,0.625,64000,2e+05,113851,14680,NA,1e+05,220000,110458,23165,"No",7.32,4756757,8000,12,NA,NA,"54806",NA,112141.668250477,2
"Marshfield",2021-05-18,562425001,2.223,2165,0.007,4.63,2176,5.5,0.625,64000,2e+05,4330,-1,NA,1e+05,220000,NA,-1,"Yes",7.1,11255934,19316,14.3,NA,NA,"54449",NA,4330,1
"WI Rapids",2021-05-18,562426001,2.789,135615,18.779,5.27,1186,NA,0.625,64000,2e+05,122357,40009,NA,1e+05,220000,148873,14115,"No",7,21038886,20000,NA,NA,NA,"54494",NA,134965.379490446,2
"Columbus",2021-05-18,562427001,0.775,10972,9.621,1.165,1905,3.34,0.625,64000,2e+05,10857,-1,NA,1e+05,220000,11087,-1,"Yes",7.6,13539551,7000,10.6,NA,NA,"53925",NA,10971.3973130135,2
"Kenosha",2021-05-18,562429001,17.41,55800,12.343,28,1239,NA,0.625,64000,2e+05,51181,3631,NA,1e+05,220000,60419,11755,"Yes",7.6,24991660,122000,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53143",NA,55608.4961044623,2
"Lake Geneva",2021-05-18,562430001,1.0259074,44173,5.725,2.5,2077,1.2,0.625,64000,2e+05,32133,9130,NA,1e+05,220000,56213,6641,"Yes",7.65,18900460,8000,14.6,NA,NA,"53147",NA,42500.4979853178,2
"BlackRiverFallsWWTP",2021-05-18,562431001,0.467,53072,22.839,1.5,832,NA,0.625,64000,2e+05,53694,11995,NA,1e+05,220000,52450,4040,"Yes",7.3,11109184,5200,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54615",NA,53068.3549773309,2
"Lodi",2021-05-18,562432001,0.324,13319,5.769,0.542,1648,NA,0.625,64000,2e+05,889,607,NA,1e+05,220000,25748,18806,"Yes",7,12886354,3100,NA,NA,NA,"53555",NA,4784.34655935374,2
"Manitowoc",2021-05-18,562433001,6.6,NA,19.64,15.5,1225,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7,11200175,34450,14.4,NA,NA,"54220",NA,NA,0
"New Richmond",2021-05-18,562434001,0.653,28800,3.246,0.98,1206,NA,0.625,64000,2e+05,24215,5645,NA,1e+05,220000,33385,12439,"Yes",7.59,25001497,9167,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54017",NA,28432.6884940556,2
"Appleton",2021-05-18,562435001,9.7,NA,0.286,15.5,1530,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7,20813549,74832,NA,NA,"ICE CHUNKS ICE CHUNKS SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54914",NA,NA,0
"Marinette",2021-05-18,562436001,2.62,73651,9.172,7.8,1011,NA,0.625,64000,2e+05,68248,23161,NA,1e+05,220000,79054,4917,"Yes",7,19873040,10608,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54143",NA,73452.55197745,2
"Clintonville",2021-05-18,562437001,0.541,17639,15.151,0.679,1448,NA,0.625,64000,2e+05,24414,6372,NA,1e+05,220000,10864,4230,"Yes",8,12704226,4455,NA,NA,NA,"54929",NA,16285.9969298781,2
"Oshkosh",2021-05-18,562438001,10.216,27311,5.779,20,1285,NA,0.625,64000,2e+05,26263,13550,NA,1e+05,220000,28359,8407,"Yes",8.19,12940544,67000,NA,NA,NA,"54902",NA,27290.88523665,2
"Hayward",2021-05-18,562439001,0.24561,590624,3.252,0.772,1018,NA,0.625,64000,2e+05,680293,53148,NA,1e+05,220000,500956,52789,"No",7,39853422,2375,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54843",NA,583778.091493677,2
"La Crosse",2021-05-18,562440001,9.88,63076,1.818,20,2144,NA,0.625,64000,2e+05,84342,9220,NA,1e+05,220000,41810,1150,"Yes",7.36,20250358,85000,NA,NA,NA,"54601",NA,59382.9859471549,2
"Stevens Point",2021-05-18,562442001,2.07,49740,8.98,4.55,887,NA,0.625,64000,2e+05,60083,7993,NA,1e+05,220000,39397,7868,"Yes",7.25,20251405,27000,NA,NA,NA,"54481",NA,48652.7486479438,2
"Mauston",2021-05-18,562443001,0.399,NA,7.078,1.1,1098,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7.49,3092148,4500,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53948",NA,NA,0
"Janesville",2021-05-18,562444001,11.79,17801,0.33,16.1,1850,NA,0.625,64000,2e+05,18029,7684,NA,1e+05,220000,17573,13393,"Yes",7.36,51241857,63500,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53548",NA,17799.5397974217,2
"Oconomowoc",2021-05-18,562445001,2.583,38067,6.258,4.02,1956,3.58,0.625,64000,2e+05,47484,4750,NA,1e+05,220000,28650,4488,"Yes",7.8,16182003,34135,11,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53066",NA,36883.8257234794,2
"Whitewater",2021-05-18,562447001,1.084,111077,3.443,3.65,1590,3.9,0.625,64000,2e+05,128200,26745,NA,1e+05,220000,93953,13529,"Yes",7.87,43822280,14000,12.8,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53190",NA,109748.68837485,2
"Monroe",2021-05-18,562448001,1.75,NA,0.052,3.7,2468,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",8.25,27410252,10800,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53566",NA,NA,0
"Rib Lake",2021-05-18,562449001,0.078,58482,13.267,0.5,1118,3.39,0.625,64000,2e+05,53646,9779,NA,1e+05,220000,63318,21298,"Yes",7.38,6535317,386,17.1,NA,NA,"54470",NA,58281.7074904296,2
"Portage",2021-05-18,562450001,1.585,50601,5.844,2.102,2100,4.99,0.625,40000,130000,50035,39824,NA,66000,140000,51168,10853,"Yes",7.7,46048560,10693,14.44,NA,NA,"53901",NA,50598.3288261579,2
"Sturgeon Bay",2021-05-18,562451001,1.9,28120,9.034,7.418,1578,NA,0.625,64000,2e+05,20528,8626,NA,1e+05,220000,35712,13392,"Yes",7.7,28783951,9500,12.4,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54235",NA,27075.7444218991,2
"Wolf",2021-05-18,562452001,1.743,4915,13.709,2.63,1505,NA,0.625,64000,2e+05,9829,541,NA,1e+05,220000,NA,-1,"Yes",7.5,11827478,18000,NA,NA,NA,"54166",NA,9829,1
"Eau Claire",2021-05-18,562453001,7.9,73433,3.885,12,1212,5.21,0.625,64000,2e+05,76090,20700,NA,1e+05,220000,70777,20364,"Yes",7.52,29188339,75000,16.2,NA,NA,"54703",NA,73385.4340451836,2
"Algoma",2021-05-18,562455001,0.475,12125,11.453,1,1538,10.62,0.625,64000,2e+05,12519,8437,NA,1e+05,220000,11730,4834,"Yes",7.9,15956274,3171,13,NA,NA,"54201",NA,12118.0802935118,2
"Sheboygan",2021-05-18,562468001,10.186,29894,5.775,18.4,1158,NA,0.625,64000,2e+05,30343,13905,NA,1e+05,220000,29446,16439,"Yes",7.7,24246723,75000,15.56,NA,NA,"53081",NA,29891.1354417995,2
"Sparta",2021-05-18,562779001,1.19,10010,1.222,4,950,4.13,0.625,64000,2e+05,11265,5069,NA,1e+05,220000,8756,-1,"Yes",9.15,12613053,9500,18.33,NA,NA,"54656",NA,9931.58295540041,2
"Red Cliff",2021-05-18,563007001,0.0597,31149,1.884,0.22,748,NA,0.625,64000,2e+05,29044,684,NA,1e+05,220000,33255,1005,"Yes",NA,7066036,1900,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54814",NA,31078.2596037809,2
"Wolf River",2021-05-19,562774001,0.0108,NA,0.2,0.065,1128,0.85,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",6.61,10916939,1000,20,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54135",NA,NA,0
"Neopit",2021-05-19,562775001,0.1153,27919,0.662,0.17,800,1.24,0.625,64000,2e+05,36676,3896,NA,1e+05,220000,19162,5075,"Yes",6.25,10977619,1000,16,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54135",NA,26510.1020744923,2
"Beloit",2021-05-19,562776001,4.1395,161886,6.734,11.3,2461,NA,0.625,64000,2e+05,189767,22505,NA,1e+05,220000,134005,6483,"No",7.5,26528367,35000,19.8,NA,NA,"53511",NA,159467.008609932,2
"Lac du Flambeau",2021-05-19,562777001,0.109,3368,2.067,0.19,540,NA,0.625,64000,2e+05,2845,-1,NA,1e+05,220000,3891,3327,"Yes",7.2,9121202,3400,12.7,NA,NA,"54538",NA,3327.1451726668,2
"Keshena",2021-05-19,562780001,0.1067,90828,4.692,0.35,1154,1.01,0.625,64000,2e+05,89657,18227,NA,1e+05,220000,91999,14376,"Yes",6.83,5552228,2500,13.9,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54135",NA,90820.4511274856,2
"Hudson",2021-05-19,562781001,1.449,85338,3.562,2.2,1354,5.99,0.625,64000,2e+05,72381,4311,NA,1e+05,220000,98294,15229,"Yes",7.47,10142649,19680,11.28,NA,NA,"54016",NA,84348.1950844237,2
"SpencerWWTF",2021-05-19,562783001,0.287,514442,7.758,0.52,1398,NA,0.625,64000,2e+05,454759,38990,NA,1e+05,220000,574125,30118,"No",7.91,7834830,2000,NA,NA,NA,"54479",NA,510968.209260615,2
"Madison",2021-05-19,562856001,35.81,130837,6.458,56,1652,NA,0.625,64000,2e+05,110162,24625,NA,1e+05,220000,151513,13453,"No",7.53,21149673,380000,NA,NA,NA,"53713",NA,129193.556751101,2
"Platteville",2021-05-19,563006001,1.163,16617,8.064,3,2016,4.26,0.625,64000,2e+05,15774,12667,NA,1e+05,220000,17461,4392,"Yes",7.74,8763757,14000,14.54,NA,NA,"53818",NA,16596.0782716882,2
"Madison",2021-05-20,562857001,35.98,254696,14.337,56,1617,NA,0.625,64000,2e+05,224021,26974,NA,1e+05,220000,285371,5869,"No",7.52,49311472,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,252842.039208277,2
"MMSD-P2",2021-05-20,562858001,5.52,642146,9.994,56,1383,NA,0.625,64000,2e+05,608010,23628,NA,1e+05,220000,676281,28430,"No",7,44245555,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,641237.561914459,2
"MMSD-P7",2021-05-20,562859001,3.65,57677,2.936,56,1989,NA,0.625,64000,2e+05,56388,7968,NA,1e+05,220000,58965,11450,"Yes",7.25,32473853,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,57662.1055807018,2
"MMSD-P8",2021-05-20,562860001,6.88,16256,5.676,56,1662,NA,0.625,64000,2e+05,15247,8308,NA,1e+05,220000,17264,5975,"Yes",7,18441997,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,16224.1858963709,2
"MMSD-P11",2021-05-20,562862001,8.61,19812,2.871,56,1536,NA,0.625,64000,2e+05,9997,4066,NA,1e+05,220000,29627,10401,"Yes",7,66800100,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,17209.913393158,2
"MMSD-P18",2021-05-20,562864001,11.32,2121416,6.505,56,2064,NA,0.625,64000,2e+05,1945496,62602,NA,1e+05,220000,2297335,62607,"No",7,15415932,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,2114108.8082594,2
"Oshkosh",2021-05-20,563004001,10.527,41712,8.781,20,1185,NA,0.625,64000,2e+05,38103,9455,NA,1e+05,220000,45320,14821,"Yes",8.01,14358198,67000,NA,NA,NA,"54902",NA,41555.1195401962,2
"Heart of the Valley",2021-05-20,563005001,6.196,30863,9.415,26.4,3011,5.04,0.625,64000,2e+05,21134,1484,NA,1e+05,220000,40591,15142,"Yes",7.6,23580028,50000,14,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54130",NA,29289.0797738679,2
"La Crosse",2021-05-20,563573001,10.37,26098,2.48,20,2283,NA,0.625,64000,2e+05,13909,2713,NA,1e+05,220000,38286,11915,"Yes",7.53,15556579,85000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54601",NA,23076.3943024035,2
"Eau Claire",2021-05-21,563262001,7.13,25025,3.163,12,1203,4.97,0.625,64000,2e+05,32593,9801,NA,1e+05,220000,17456,3277,"Yes",7.46,17590171,75000,16.6,NA,NA,"54703",NA,23852.5346242281,2
"WI Rapids",2021-05-21,563271001,2.793,20975,2.565,5.27,1110,NA,0.625,64000,2e+05,21617,2749,NA,1e+05,220000,20334,15901,"Yes",7,15776745,20000,NA,NA,NA,"54494",NA,20965.6881117697,2
"Appleton",2021-05-21,563273001,10.7,NA,1.151,15.5,952.7,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7.6,23607219,74832,15.2,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54914",NA,NA,0
"Madison",2021-05-21,563412001,36.89,48785,0.921,56,1573,NA,0.625,64000,2e+05,29085,11603,NA,1e+05,220000,68485,16352,"Yes",7.64,20880582,380000,NA,NA,NA,"53713",NA,44630.5525957275,2
"Sheboygan",2021-05-22,563263001,9.741,13853,0.553,18.4,1116,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,27707,1863,"Yes",7.7,14912786,75000,17.22,NA,NA,"53081",NA,27707,1
"Stevens Point",2021-05-22,563264001,1.97,36194,4.08,4.55,880,NA,0.625,64000,2e+05,25675,16175,NA,1e+05,220000,46713,6192,"Yes",7.17,12492987,27000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54481",NA,34631.7235349325,2
"Menomonie",2021-05-22,563265001,1.425,15614,0.546,2.88,935.4,NA,0.625,64000,2e+05,19467,11277,NA,1e+05,220000,11762,1251,"Yes",7.1,15566083,16000,NA,NA,NA,"54751",NA,15131.7829088313,2
"Janesville",2021-05-22,563266001,11.518,27209,2.846,16.1,1240,NA,0.625,64000,2e+05,17439,6630,NA,1e+05,220000,36979,8378,"Yes",7.31,8049824,63500,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53548",NA,25394.4242108381,2
"Wausau",2021-05-22,563268001,4.39,12169,0.421,8.2,1023,NA,0.625,64000,2e+05,14482,3948,NA,1e+05,220000,9857,6479,"Yes",7,18597781,42000,NA,NA,NA,"54401",NA,11947.7643933918,2
"Hudson",2021-05-22,563269001,1.753,14199,2.858,2.2,1057,6,0.625,64000,2e+05,10859,5203,NA,1e+05,220000,17538,7793,"Yes",6.9,5395152,19680,8,NA,NA,"54016",NA,13800.1863030903,2
"Kenosha",2021-05-22,563278001,17.57,49153,8.001,28,1128,NA,0.625,64000,2e+05,34445,13720,NA,1e+05,220000,63861,9046,"Yes",7.4,11814164,122000,NA,NA,NA,"53143",NA,46900.8757380926,2
"Madison",2021-05-23,563413001,35.23,67358,5.213,56,1549,NA,0.625,64000,2e+05,37957,4384,NA,1e+05,220000,96759,20042,"Yes",7.61,26584703,380000,NA,NA,NA,"53713",NA,60602.6514518961,2
"Peshtigo",2021-05-24,563267001,0.629,NA,8.828,4.2,546.3,4,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7.5,3466946,4000,12.6,NA,NA,"54157",NA,NA,0
"SpencerWWTF",2021-05-24,563272001,0.2935,5443,2.703,0.52,900.1,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,10885,6527,"Yes",7.88,5583031,2000,NA,NA,NA,"54479",NA,10885,1
"Washburn",2021-05-24,563275001,0.84,NA,30.511,0.36,318.1,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7.4,1460705,2200,10.2,NA,NA,"54891",NA,NA,0
"Madison",2021-05-24,563414001,35.72,84526,1.172,56,1323,NA,0.625,64000,2e+05,72954,3782,NA,1e+05,220000,96098,32189,"Yes",7.53,33044319,380000,NA,NA,NA,"53713",NA,83730.1229665883,2
"MMSD-P2",2021-05-24,563416001,5.62,8356,1.086,56,1408,NA,0.625,64000,2e+05,16713,1857,NA,1e+05,220000,NA,-1,"Yes",7,29868124,380000,NA,NA,NA,"53713",NA,16713,1
"MMSD-P7",2021-05-24,563417001,4.11,2849,0.321,56,1439,NA,0.625,64000,2e+05,5698,55,NA,1e+05,220000,NA,-1,"Yes",7.25,17923579,380000,NA,NA,NA,"53713",NA,5698,1
"MMSD-P8",2021-05-24,563418001,6.56,21817,4.663,56,1253,NA,0.625,64000,2e+05,18813,11614,NA,1e+05,220000,24820,8880,"Yes",7,18682973,380000,NA,NA,NA,"53713",NA,21608.7635000247,2
"MMSD-P11",2021-05-24,563419001,8.63,17159,0.626,56,1811,NA,0.625,64000,2e+05,12358,11249,NA,1e+05,220000,21960,8372,"Yes",7.5,44227419,380000,NA,NA,NA,"53713",NA,16473.666258608,2
"MMSD-P18",2021-05-24,563420001,10.8,161442,1.436,56,1648,NA,0.625,64000,2e+05,139794,28149,NA,1e+05,220000,183089,29162,"No",7.5,27911352,380000,NA,NA,NA,"53713",NA,159983.573112992,2
"Sun Prairie",2021-05-25,563276001,3.548,14167,3.818,6.2,1256,NA,0.625,64000,2e+05,23535,6921,NA,1e+05,220000,4800,5214,"Yes",6.9,25289893,34926,15,NA,NA,"53590",NA,10628.6405527706,2
"Madison",2021-05-25,563415001,36.93,46009,2.255,56,1526,NA,0.625,64000,2e+05,29749,4838,NA,1e+05,220000,62269,16584,"Yes",7.8,40178755,380000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53713",NA,43039.9870004627,2
"Lodi",2021-05-25,563523001,0.325,NA,20.989,0.542,1593,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,NA,-1,"Yes",7,5138627,3100,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","53555",NA,NA,0
"La Crosse",2021-05-25,563525001,10.25,10724,7.91,20,2270,NA,0.625,64000,2e+05,21449,938,NA,1e+05,220000,NA,-1,"Yes",7.41,8795823,85000,NA,NA,NA,"54601",NA,21449,1
"Ashland",2021-05-25,563526001,2.769,NA,27.762,1.92,710,NA,0.625,64000,2e+05,NA,1,NA,1e+05,220000,NA,-1,"Yes",7.63,3229698,8000,13,NA,NA,"54806",NA,NA,0
"Stevens Point",2021-05-25,563528001,2.09,272592,4.073,4.55,872,NA,0.625,64000,2e+05,236390,15990,NA,1e+05,220000,308793,14951,"No",7.39,17568281,27000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54481",NA,270176.936969091,2
"New Richmond",2021-05-25,563529001,0.677,46493,3.712,0.98,1322,NA,0.625,64000,2e+05,31593,9113,NA,1e+05,220000,61394,19739,"Yes",7.59,14704344,9167,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54017",NA,44041.1244406861,2
"Waupaca",2021-05-25,563536001,1.3115,59282,7.17,1.5,1194,NA,0.625,64000,2e+05,49217,9705,NA,1e+05,220000,69348,15337,"Yes",7.4,15191671,10000,NA,NA,NA,"54981",NA,58421.7469440961,2
"Clintonville",2021-05-25,563538001,0.545,43070,9.87,0.679,1251,NA,0.625,64000,2e+05,28552,6831,NA,1e+05,220000,57588,14299,"Yes",7.9,13463661,4455,NA,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54929",NA,40549.3844096307,2
"Oconomowoc",2021-05-25,563541001,2.818,97293,11.11,4.02,2315,2.56,0.625,64000,2e+05,71464,9543,NA,1e+05,220000,123122,23056,"No",7.7,19084593,34135,12.2,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53066",NA,93801.8688939618,2
"Viroqua",2021-05-25,563547001,0.288,1813,3.442,0.535,1361,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,3626,-1,"Yes",7,18532658,4335,NA,NA,NA,"54665",NA,3626,1
"Hayward",2021-05-25,563548001,0.263228,197190,0.74,0.772,931.2,NA,0.625,64000,2e+05,185965,51878,NA,1e+05,220000,208415,22922,"No",7.5,16812757,2375,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54843",NA,196870.250355405,2
"Monroe",2021-05-25,563549001,1.894,15321,1.459,3.7,2187,NA,0.625,64000,2e+05,22126,8768,NA,1e+05,220000,8516,3850,"Yes",8.1,14577954,10800,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","53566",NA,13726.7991899059,2
"River Falls",2021-05-25,563550001,1.406,21539,10.342,1.8,1119,4.78,0.625,64000,2e+05,22586,5333,NA,1e+05,220000,20492,6986,"Yes",7.27,9389909,16000,8.9,NA,NA,"54022",NA,21513.537877346,2
"Heart of the Valley",2021-05-25,563555001,6.144,10821,6.84,26.4,3660,NA,0.625,64000,2e+05,NA,-1,NA,1e+05,220000,21643,6833,"Yes",7.5,14351532,50000,15.1,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54130",NA,21643,1
"Wolf",2021-05-25,563557001,1.801,64085,9.808,2.63,1165,NA,0.625,64000,2e+05,40104,7291,NA,1e+05,220000,88065,17692,"Yes",7.3,9706622,18000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54166",NA,59428.6022046624,2
"Rib Lake",2021-05-25,563559001,0.117,19131,16.085,0.5,538,3.83,0.625,64000,2e+05,18388,5060,NA,1e+05,220000,19874,1557,"Yes",6.87,20103098,386,10.6,NA,"SAMPLE FROZEN Sample frozen upon receipt; Results approximate.","54470",NA,19116.566428101,2
"Chippewa Falls",2021-05-25,563560001,2.268,4363,11.12,4.5,1590,NA,0.625,64000,2e+05,8726,60,NA,1e+05,220000,NA,-1,"Yes",6.8,10347851,13000,11,NA,NA,"54729-2175",NA,8726,1
"Menomonie",2021-05-25,563561001,1.409,185420,3.64,2.88,1286,NA,0.625,64000,2e+05,132728,4879,NA,1e+05,220000,238112,20960,"No",8,26024515,16000,NA,NA,NA,"54751",NA,177775.503194338,2
